316 620
15 14 650
48 45 1157
47 54 1163
68 70 337
108 107 243
182 177 846
70 67 29
4 1 646
292 289 384
96 95 240
273 272 145
3 2 1055
255 258 1043
228 226 237
181 184 703
13 4 1081
208 213 869
12 76 880
82 86 515
19 12 717
295 289 67
11 79 69
236 238 569
283 274 477
34 42 306
124 141 558
137 134 337
145 127 552
10 6 674
246 250 306
303 307 676
263 244 578
235 232 774
157 159 432
311 314 1112
140 137 205
221 223 1171
5 1 178
70 66 861
295 297 1130
54 44 557
116 121 922
205 206 390
153 168 222
161 157 998
118 120 1188
87 94 609
139 141 318
316 305 273
122 123 827
85 75 651
26 22 144
69 60 1099
233 242 1150
203 205 443
105 104 1
173 174 430
267 258 951
30 36 259
60 64 226
191 190 850
103 92 686
19 23 792
24 34 84
232 219 952
158 156 483
172 164 32
249 240 260
51 47 1121
77 74 1137
85 83 844
77 78 160
19 20 1013
204 200 848
260 262 181
98 114 629
304 315 1192
125 108 177
227 220 643
118 115 872
26 35 1126
35 37 199
262 281 187
138 152 758
167 172 705
277 291 891
249 256 872
238 240 1024
217 229 232
150 139 591
163 164 1063
180 187 397
35 38 263
282 265 993
65 61 413
155 158 140
54 52 498
223 218 687
244 251 543
80 92 120
183 185 425
17 25 1138
84 83 1052
252 261 345
287 275 1163
58 53 467
283 293 675
121 124 312
237 217 1148
184 196 917
271 254 798
236 237 476
189 197 205
35 40 449
29 40 112
267 268 622
89 101 945
254 257 1025
107 103 232
114 133 80
309 307 341
184 187 684
46 55 1150
102 99 940
100 98 382
130 121 883
65 63 495
117 120 982
159 144 1150
176 165 816
168 169 79
219 225 213
32 40 470
234 231 60
20 32 145
111 129 599
274 278 1122
240 260 431
5 4 455
55 47 286
224 230 906
21 18 1038
212 220 375
5 3 1000
115 112 223
140 141 107
143 144 1070
288 292 181
243 241 519
9 11 266
244 241 364
66 59 394
248 247 221
1 2 702
259 258 729
44 38 879
104 94 595
131 147 448
211 201 509
277 276 472
284 269 1080
198 213 1165
137 150 579
260 279 665
295 283 181
76 75 780
305 295 9
307 301 754
177 157 291
51 43 1074
146 166 745
300 296 318
283 282 274
72 80 619
136 149 523
290 302 762
297 306 98
256 248 404
266 271 1140
268 249 817
102 74 140
288 290 220
16 15 56
188 195 759
10 70 868
250 249 142
270 264 5
89 90 812
282 293 1033
248 254 112
109 107 903
183 186 443
179 199 773
10 16 29
74 69 510
20 27 285
42 41 823
9 8 830
134 132 420
25 33 659
272 284 733
128 110 5
57 44 316
301 304 359
24 22 569
56 65 207
1 6 753
137 144 56
81 79 978
81 83 164
261 262 260
105 97 212
265 263 932
49 52 350
67 53 635
227 229 800
280 279 625
106 104 1103
290 279 556
91 88 489
163 143 966
48 54 1120
197 187 1011
175 179 166
278 275 951
142 151 1150
5 6 1037
65 58 1041
289 291 549
135 150 1004
280 300 126
4 3 349
257 255 362
211 203 410
7 8 1085
191 182 1016
16 71 1028
126 133 916
8 12 816
58 49 108
271 269 1022
33 26 951
101 93 1092
9 15 698
310 312 58
170 176 565
215 209 284
13 20 397
111 112 290
310 299 266
183 202 903
7 3 531
228 222 589
50 48 8
175 191 249
298 291 346
33 27 358
278 292 521
306 304 539
305 298 649
211 205 865
14 17 287
253 259 143
268 264 679
274 286 530
37 9 667
131 130 1010
51 59 74
126 125 108
311 310 18
180 170 143
212 215 855
52 59 1133
150 140 280
288 298 935
38 50 18
234 225 980
28 29 50
155 163 471

6259


